TV_MONDAY,TV_TUESDAY,TV_WEDNESDAY,TV_THURSDAY,TV_FRIDAY,TV_SATURDAY,TV_SUNDAY,TOTAL_CONV
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.04,0.0,0.06,0.0,3.94,1.24,1
0.0,0.08,0.0,0.0,0.83,1.06,0.12,1
1.7,2.85,0.59,1.9,0.0,0.0,3.34,1
1.68,9.61,5.46,0.7,7.98,11.2,4.2,1
0.17,0.48,0.41,0.17,0.0,0.0,0.17,1
0.0,0.0,0.0,0.34,0.7,0.72,0.0,1
0.0,0.0,0.0,0.0,0.0,2.45,1.96,1
0.0,0.0,2.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,5.11,0.7,0.0,1
0.0,0.49,0.0,0.0,0.0,0.09,0.98,1
0.0,0.0,0.0,0.0,0.17,0.0,0.0,1
0.0,0.7,2.1,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.34,0.0,1
0.0,0.0,0.24,0.49,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,2.97,0.17,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.64,0.96,1
0.0,0.0,0.24,1.06,0.87,0.72,0.0,1
0.0,0.0,0.0,0.0,4.32,0.3,0.48,1
0.12,0.0,0.0,0.0,0.0,0.0,0.34,1
0.0,0.0,0.12,0.0,0.0,0.0,0.0,1
1.0,0.0,0.0,0.0,0.16,1.4,0.7,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,1.19,0.0,0.0,1
0.0,0.0,0.0,0.0,0.24,0.06,0.0,1
0.0,0.0,0.0,0.0,0.0,0.36,0.0,1
0.0,0.0,0.0,1.24,0.0,9.92,0.77,1
0.0,0.0,0.49,0.98,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,1.7,1.7,1.0,1.7,1
1.19,0.0,0.0,0.0,0.0,0.0,15.3,2
0.0,0.48,0.0,0.0,0.0,0.0,0.0,1
0.17,0.0,0.0,0.17,0.0,10.56,1.48,1
0.0,0.0,0.0,0.0,0.0,0.0,1.92,1
0.0,0.0,0.0,0.0,0.0,0.0,0.68,1
0.7,0.49,0.0,0.0,0.28,0.56,0.49,1
0.0,0.0,0.17,0.0,0.0,0.17,0.0,1
0.0,0.68,0.0,0.68,0.0,0.0,0.0,1
0.0,1.0,0.0,0.0,0.0,0.0,0.12,1
0.0,1.0,0.0,0.0,0.08,0.06,0.08,1
0.0,0.0,0.0,0.49,0.0,0.0,0.0,1
1.97,8.19,3.24,0.0,0.48,0.0,0.96,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0.0,4.61,0.0,0.94,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.17,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0.0,0.0,0.0,0.0,1.4,0.0,0.0,1
0.0,0.0,0.9,0.0,0.0,0.0,0.0,1
1.4,0.0,0.0,0.0,0.0,2.8,7.0,2
0.0,0.0,0.0,0.0,2.18,0.18,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,2.34,1
0.0,0.0,1.4,0.7,0.0,5.45,3.4,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,2.4,2.4,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,3.13,0.0,1.88,1
0.49,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,4.6,1
0.08,0.0,0.0,0.0,0.15,0.0,0.0,1
0.0,0.0,0.0,3.02,0.0,0.0,2.04,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.24,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
0.0,0.7,0.49,2.23,0.49,0.0,0.34,1
0.0,0.0,0.0,0.18,0.03,0.0,0.0,1
0.0,0.24,0.0,0.0,0.0,5.6,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,2.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.78,0.0,1
0.0,0.0,0.0,0.0,0.98,0.08,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,3.88,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.66,1
0.15,0.04,0.0,0.0,0.03,0.11,0.08,1
0.0,0.0,1.04,0.0,0.12,4.8,0.0,1
0.0,0.68,0.0,0.0,0.0,0.0,0.0,1
0.0,0.34,0.0,0.0,0.0,0.0,0.0,1
16.0,10.0,5.0,5.0,15.6,12.1,11.8,2
1.4,1.0,0.0,0.0,0.0,0.0,0.0,1
